image_path,value
ml/data/captured_images/capture_m30c_preview.png,-30
ml/data/captured_images/capture_m30c_preview.png,-30
ml/data/captured_images/capture_m19c.png,-19
ml/data/captured_images/capture_m19c.png,-19
ml/data/captured_images/capture_m10c_preview.png,-10
ml/data/captured_images/capture_m10c_preview.png,-10
ml/data/captured_images/capture_p5c.png,5
ml/data/captured_images/capture_p5c.png,5
ml/data/captured_images/capture_0075.png,19
ml/data/captured_images/capture_0075.png,19
ml/data/captured_images/capture_p20c_preview.png,20
ml/data/captured_images/capture_p20c_preview.png,20
ml/data/captured_images/capture_p30c.png,30
ml/data/captured_images/capture_p30c.png,30
ml/data/captured_images/capture_p35c_preview.png,35
ml/data/captured_images/capture_p35c_preview.png,35
ml/data/captured_images/capture_p35c.jpg,35
ml/data/captured_images/capture_2026-04-03_08-20-49.png,45
ml/data/captured_images/capture_2026-04-03_08-20-49.png,45
ml/data/captured_images/capture_p50c_preview.png,50
ml/data/captured_images/capture_p50c_preview.png,50
ml/data/captured_images/capture_p31c.jpg,31
ml/data/captured_images/capture_p31c.jpg,31
ml/data/captured_images/capture_p42c.jpg,42
ml/data/captured_images/capture_p42c.jpg,42
ml/data/captured_images/capture_p45c.png,45
ml/data/captured_images/capture_0073.png,46
ml/data/captured_images/capture_p10c_preview.png,10
ml/data/captured_images/capture_0c_preview.png,0
ml/data/captured_images/capture_p15c.jpg,15
ml/data/captured_images/capture_p25c.jpg,25
ml/data/captured_images/capture_m25c.jpg,-25
